df,alpha,p_cum,tv_2t,tv_1t
25,0.001,0.999,3.72514395,3.450188727
25,0.005,0.995,3.078199461,2.787435814
25,0.01,0.99,2.787435814,2.485107175
25,0.025,0.975,2.384610201,2.059538553
25,0.05,0.95,2.059538553,1.708140761
25,0.1,0.9,1.708140761,1.316345073
25,0.15,0.85,1.485171326,1.058384393
25,0.2,0.8,1.316345073,0.856236158
26,0.0005,0.9995,3.974218548,3.706611743
26,0.001,0.999,3.706611743,3.434997182
26,0.005,0.995,3.066909116,2.778714533
26,0.01,0.99,2.778714533,2.478629824
26,0.025,0.975,2.378786266,2.055529439
26,0.05,0.95,2.055529439,1.70561792
26,0.1,0.9,1.70561792,1.314971864
26,0.15,0.85,1.483362535,1.057523179
26,0.2,0.8,1.314971864,0.855665233
27,0.0005,0.9995,3.953831692,3.689591713
27,0.001,0.999,3.689591713,3.421033621
27,0.005,0.995,3.056520109,2.770682957
27,0.01,0.99,2.770682957,2.472659912
27,0.025,0.975,2.373417201,2.051830516
27,0.05,0.95,2.051830516,1.703288446
27,0.1,0.9,1.703288446,1.313702913
27,0.15,0.85,1.481691617,1.05672698
27,0.2,0.8,1.313702913,0.855137231
28,0.0005,0.9995,3.935058142,3.673906401
28,0.001,0.999,3.673906401,3.408155178
28,0.005,0.995,3.046928775,2.763262455
28,0.01,0.99,2.763262455,2.467140098
28,0.025,0.975,2.368451749,2.048407142
28,0.05,0.95,2.048407142,1.701130934
28,0.1,0.9,1.701130934,1.312526782
28,0.15,0.85,1.48014339,1.055988703
28,0.2,0.8,1.312526782,0.854647486
29,0.0005,0.9995,3.917714119,3.659405019
29,0.001,0.999,3.659405019,3.396240288
29,0.005,0.995,3.038046745,2.756385904
29,0.01,0.99,2.756385904,2.46202136
29,0.025,0.975,2.363846073,2.045229642
29,0.05,0.95,2.045229642,1.699127027
29,0.1,0.9,1.699127027,1.311433647
29,0.15,0.85,1.478704821,1.055302249
29,0.2,0.8,1.311433647,0.854191986
30,0.0005,0.9995,3.901642678,3.645958635
30,0.001,0.999,3.645958635,3.385184867
30,0.005,0.995,3.029798224,2.749995654
30,0.01,0.99,2.749995654,2.457261542
30,0.025,0.975,2.359562459,2.042272456
30,0.05,0.95,2.042272456,1.697260887
30,0.1,0.9,1.697260887,1.310415025
30,0.15,0.85,1.477364662,1.054662347
30,0.2,0.8,1.310415025,0.853767261
31,0.0005,0.9995,3.886708996,3.63345635
31,0.001,0.999,3.63345635,3.37489928
31,0.005,0.995,3.022117834,2.744041919
31,0.01,0.99,2.744041919,2.452824193
31,0.025,0.975,2.355568282,2.039513446
31,0.05,0.95,2.039513446,1.695518783
31,0.1,0.9,1.695518783,1.309463549
31,0.15,0.85,1.47611315,1.054064419
31,0.2,0.8,1.309463549,0.853370296
32,0.0005,0.9995,3.872796611,3.62180226
32,0.001,0.999,3.62180226,3.365305926
32,0.005,0.995,3.014948888,2.738481482
32,0.01,0.99,2.738481482,2.448677634
32,0.025,0.975,2.35183518,2.036933343
32,0.05,0.95,2.036933343,1.693888748
32,0.1,0.9,1.693888748,1.308572793
32,0.15,0.85,1.474941772,1.053504465
32,0.2,0.8,1.308572793,0.852998454
33,0.0005,0.9995,3.859804406,3.610913008
33,0.001,0.999,3.610913008,3.356337279
33,0.005,0.995,3.00824199,2.733276642
33,0.01,0.99,2.733276642,2.4447942
33,0.025,0.975,2.348338377,2.034515297
33,0.05,0.95,2.034515297,1.692360309
33,0.1,0.9,1.692360309,1.307737124
33,0.15,0.85,1.473843072,1.052978981
33,0.2,0.8,1.307737124,0.852649424
34,0.0005,0.9995,3.847644163,3.600715797
34,0.001,0.999,3.600715797,3.347934313
34,0.005,0.995,3.001953901,2.728394367
34,0.01,0.99,2.728394367,2.441149628
34,0.025,0.975,2.345056134,2.032244509
34,0.05,0.95,2.032244509,1.690924255
34,0.1,0.9,1.690924255,1.306951587
34,0.15,0.85,1.47281049,1.052484878
34,0.2,0.8,1.306951587,0.852321169
35,0.0005,0.9995,3.836238577,3.591146776
35,0.001,0.999,3.591146776,3.340045202
35,0.005,0.995,2.996046612,2.723805589
35,0.01,0.99,2.723805589,2.437722547
35,0.025,0.975,2.341969299,2.030107928
35,0.05,0.95,2.030107928,1.689572458
35,0.1,0.9,1.689572458,1.306211802
35,0.15,0.85,1.471838233,1.052019427
35,0.2,0.8,1.306211802,0.852011889
36,0.0005,0.9995,3.825519617,3.582149701
36,0.001,0.999,3.582149701,3.332624257
36,0.005,0.995,2.990486572,2.71948463
36,0.01,0.99,2.71948463,2.434494061
36,0.025,0.975,2.339060933,2.028094001
36,0.05,0.95,2.028094001,1.688297714
36,0.1,0.9,1.688297714,1.305513886
36,0.15,0.85,1.470921166,1.051580206
36,0.2,0.8,1.305513886,0.851719984
37,0.0005,0.9995,3.815427181,3.573674844
37,0.001,0.999,3.573674844,3.325631045
37,0.005,0.995,2.98524406,2.715408722
37,0.01,0.99,2.715408722,2.4314474
37,0.025,0.975,2.336315997,2.026192463
37,0.05,0.95,2.026192463,1.68709362
37,0.1,0.9,1.68709362,1.304854381
37,0.15,0.85,1.470054719,1.05116506
37,0.2,0.8,1.304854381,0.851444031
38,0.0005,0.9995,3.805907973,3.565678072
38,0.001,0.999,3.565678072,3.319029655
38,0.005,0.995,2.980292647,2.711557602
38,0.01,0.99,2.711557602,2.428567631
38,0.025,0.975,2.333721098,2.024394164
38,0.05,0.95,2.024394164,1.68595446
38,0.1,0.9,1.68595446,1.304230204
38,0.15,0.85,1.469234815,1.050772062
38,0.2,0.8,1.304230204,0.851182756
39,0.0005,0.9995,3.796914567,3.558120081
39,0.001,0.999,3.558120081,3.312788083
39,0.005,0.995,2.975608758,2.707913184
39,0.01,0.99,2.707913184,2.42584141
39,0.025,0.975,2.331264265,2.02269092
39,0.05,0.95,2.02269092,1.684875122
39,0.1,0.9,1.684875122,1.303638589
39,0.15,0.85,1.468457801,1.050399485
39,0.2,0.8,1.303638589,0.85093502
40,0.0005,0.9995,3.788404624,3.550965761
40,0.001,0.999,3.550965761,3.306877714
40,0.005,0.995,2.971171295,2.704459267
40,0.01,0.99,2.704459267,2.423256779
40,0.025,0.975,2.328934768,2.02107539
40,0.05,0.95,2.02107539,1.683851013
40,0.1,0.9,1.683851013,1.303077053
40,0.15,0.85,1.467720399,1.050045778
40,0.2,0.8,1.303077053,0.850699796
41,0.0005,0.9995,3.780340225,3.544183643
41,0.001,0.999,3.544183643,3.301272889
41,0.005,0.995,2.96696132,2.701181304
41,0.01,0.99,2.701181304,2.420802992
41,0.025,0.975,2.32672296,2.01954097
41,0.05,0.95,2.01954097,1.682878002
41,0.1,0.9,1.682878002,1.302543359
41,0.15,0.85,1.467019655,1.049709544
41,0.2,0.8,1.302543359,0.85047616
42,0.0005,0.9995,3.772687313,3.537745445
42,0.001,0.999,3.537745445,3.295950529
42,0.005,0.995,2.962961787,2.698066186
42,0.01,0.99,2.698066186,2.41847036
42,0.025,0.975,2.324620144,2.018081703
42,0.05,0.95,2.018081703,1.681952357
42,0.1,0.9,1.681952357,1.302035487
42,0.15,0.85,1.466352901,1.049389518
42,0.2,0.8,1.302035487,0.850263276
43,0.0005,0.9995,3.765415209,3.531625678
43,0.001,0.999,3.531625678,3.290889821
43,0.005,0.995,2.95915731,2.695102079
43,0.01,0.99,2.695102079,2.416250129
43,0.025,0.975,2.322618461,2.016692199
43,0.05,0.95,2.016692199,1.681070703
43,0.1,0.9,1.681070703,1.301551608
43,0.15,0.85,1.465717725,1.049084557
43,0.2,0.8,1.301551608,0.850060387
44,0.0005,0.9995,3.758496211,3.525801306
44,0.001,0.999,3.525801306,3.286071946
44,0.005,0.995,2.955533967,2.692278266
44,0.01,0.99,2.692278266,2.414134368
44,0.025,0.975,2.320710788,2.015367574
44,0.05,0.95,2.015367574,1.680229977
44,0.1,0.9,1.680229977,1.30109006
